id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.district,children_count.commune,zip_codes,geo.lat,geo.lon
1402,2,ស្រុក,District,កំចាយមារ,Kamchay Mear,kamchay-mear-1402,1402,,14,ព្រៃវែង,Prey Veng,,,8,,11.5744182,105.662875
1403,2,ស្រុក,District,កំពង់ត្របែក,Kampong Trabaek,kampong-trabaek-1403,1403,,14,ព្រៃវែង,Prey Veng,,,13,,11.1401552,105.4780783
1404,2,ស្រុក,District,កញ្ជ្រៀច,Kanhchriech,kanhchriech-1404,1404,,14,ព្រៃវែង,Prey Veng,,,8,,11.6889825,105.5581607
1405,2,ស្រុក,District,មេសាង,Me Sang,me-sang-1405,1405,,14,ព្រៃវែង,Prey Veng,,,8,,11.3247044,105.5766407
1406,2,ស្រុក,District,ពាមជរ,Peam Chor,peam-chor-1406,1406,,14,ព្រៃវែង,Prey Veng,,,10,,11.1079466,105.2245017
1407,2,ស្រុក,District,ពាមរក៍,Peam Ro,peam-ro-1407,1407,,14,ព្រៃវែង,Prey Veng,,,8,,11.3186652,105.2809166
1408,2,ស្រុក,District,ពារាំង,Pea Reang,pea-reang-1408,1408,,14,ព្រៃវែង,Prey Veng,,,9,,11.6633953,105.2289245
1409,2,ស្រុក,District,ព្រះស្ដេច,Preah Sdach,preah-sdach-1409,1409,,14,ព្រៃវែង,Prey Veng,,,11,,11.1187656,105.3769965
1410,2,ស្រុក,District,ព្រៃវែង,Prey Veng,prey-veng-1410,1410,,14,ព្រៃវែង,Prey Veng,,,4,,11.4826844,105.3251212
1411,2,ស្រុក,District,ពោធិ៍រៀង,Pur Rieng,pur-rieng-1411,1411,,14,ព្រៃវែង,Prey Veng,,,6,,11.5213787,105.3571127
1412,2,ស្រុក,District,ស៊ីធរកណ្ដាល,Sithor Kandal,sithor-kandal-1412,1412,,14,ព្រៃវែង,Prey Veng,,,11,,11.7740666,105.380774
1413,2,ស្រុក,District,ស្វាយអន្ទរ,Svay Antor,svay-antor-1413,1413,,14,ព្រៃវែង,Prey Veng,,,11,,11.5729124,105.4252384
15,1,ខេត្ត,Province,ពោធិ៍សាត់,Pursat,pursat-15,15,,,,,,7,49,,12.4662592,103.7426829518918
1501,2,ស្រុក,District,បាកាន,Bakan,bakan-1501,1501,,15,ពោធិ៍សាត់,Pursat,,,9,,12.6030184,103.7904079
1502,2,ស្រុក,District,កណ្ដៀង,Kandieng,kandieng-1502,1502,,15,ពោធិ៍សាត់,Pursat,,,9,,12.5898656,103.9571307
1503,2,ស្រុក,District,ក្រគរ,Krakor,krakor-1503,1503,,15,ពោធិ៍សាត់,Pursat,,,11,,12.5287279,104.2100448
1504,2,ស្រុក,District,ភ្នំក្រវ៉ាញ,Phnum Kravanh,phnum-kravanh-1504,1504,,15,ពោធិ៍សាត់,Pursat,,,6,,12.3505536,103.7641348
1505,2,ស្រុក,District,ពោធិ៍សាត់,Pursat,pursat-1505,1505,,15,ពោធិ៍សាត់,Pursat,,,7,,12.5377547,103.9178235
1506,2,ស្រុក,District,វាលវែង,Veal Veaeng,veal-veaeng-1506,1506,,15,ពោធិ៍សាត់,Pursat,,,5,,12.234079,103.1238576
1507,2,ស្រុក,District,តាលោសែនជ័យ,Ta Lou Senchey,ta-lou-senchey-1507,1507,,15,ពោធិ៍សាត់,Pursat,,,2,,,
16,1,ខេត្ត,Province,រតនគិរី,Ratanakiri,ratanakiri-16,16,,,,,,9,50,,13.9311155,107.03914990288844
1601,2,ស្រុក,District,អណ្ដូងមាស,Andoung Meas,andoung-meas-1601,1601,,16,រតនគិរី,Ratanakiri,,,3,,13.8662759,107.2970158
1602,2,ស្រុក,District,បានលុង,Ban Lung,ban-lung-1602,1602,,16,រតនគិរី,Ratanakiri,,,4,,13.7414754,106.9873662
1603,2,ស្រុក,District,បរកែវ,Bar Kaev,bar-kaev-1603,1603,,16,រតនគិរី,Ratanakiri,,,6,,13.6868898,107.2144802
1604,2,ស្រុក,District,កូនមុំ,Koun Mom,koun-mom-1604,1604,,16,រតនគិរី,Ratanakiri,,,6,,13.580944,106.7722214
1605,2,ស្រុក,District,លំផាត់,Lumphat,lumphat-1605,1605,,16,រតនគិរី,Ratanakiri,,,6,,13.4998503,106.9736284
1606,2,ស្រុក,District,អូរជុំ,Ou Chum,ou-chum-1606,1606,,16,រតនគិរី,Ratanakiri,,,7,,13.8018346,106.992574
1607,2,ស្រុក,District,អូរយ៉ាដាវ,Ou Ya Dav,ou-ya-dav-1607,1607,,16,រតនគិរី,Ratanakiri,,,7,,13.6689224,107.3483187
1608,2,ស្រុក,District,តាវែង,Ta Veaeng,ta-veaeng-1608,1608,,16,រតនគិរី,Ratanakiri,,,2,,14.0472873,107.1080429
1609,2,ស្រុក,District,វើនសៃ,Veun Sai,veun-sai-1609,1609,,16,រតនគិរី,Ratanakiri,,,9,,13.9720878,106.8137949
17,1,ខេត្ត,Province,សៀមរាប,Siem Reap,siem-reap-17,17,,,,,,13,100,,13.314962,103.805433
